date,cases
2020-03-06,1
2020-03-07,2
2020-03-08,2
2020-03-09,2
2020-03-10,2
2020-03-11,2
2020-03-12,4
2020-03-13,4
2020-03-14,4
2020-03-15,5
2020-03-16,5
2020-03-17,7
2020-03-18,11
2020-03-19,11
2020-03-20,14
2020-03-21,17
2020-03-22,26
2020-03-23,30
2020-03-24,34
2020-03-25,52
2020-03-26,66
2020-03-27,95
2020-03-28,119
2020-03-29,151
2020-03-30,170
2020-03-31,206
2020-04-01,235
2020-04-02,274
2020-04-03,303
2020-04-04,347
2020-04-05,378
2020-04-06,399
2020-04-07,438
2020-04-08,475
2020-04-09,521
2020-04-10,571
2020-04-11,597
2020-04-12,616
2020-04-13,641
2020-04-14,656
2020-04-15,677
2020-04-16,686
2020-04-17,720
2020-04-18,738
2020-04-19,768
2020-04-20,784
2020-04-21,794
2020-04-22,793
2020-04-23,886
2020-04-24,939
2020-04-25,943
2020-04-26,960
2020-04-27,970
2020-04-28,989
2020-04-29,1002
2020-04-30,1020
2020-05-01,1066
2020-05-02,1084
2020-05-03,1117
2020-05-04,1137
2020-05-05,1159
2020-05-06,1175
2020-05-07,1211
2020-05-08,1218
2020-05-09,1248
2020-05-10,1267
2020-05-11,1284
2020-05-12,1316
2020-05-13,1331
2020-05-14,1349
2020-05-15,1384
2020-05-16,1400
2020-05-17,1455
2020-05-18,1480
2020-05-19,1519
2020-05-20,1541
2020-05-21,1584
2020-05-22,1665
2020-05-23,1676
2020-05-24,1698
2020-05-25,1735
2020-05-26,1758
2020-05-27,1766
2020-05-28,1801
2020-05-29,1846
2020-05-30,1893
2020-05-31,1907
2020-06-01,1942
2020-06-02,1966
2020-06-03,2086
2020-06-04,2146
2020-06-05,2199
2020-06-06,2252
2020-06-07,2288
2020-06-08,2314
2020-06-09,2387
2020-06-10,2421
2020-06-11,2499
2020-06-12,2562
2020-06-13,2633
2020-06-14,2835
2020-06-15,2876
2020-06-16,3014
2020-06-17,3186
2020-06-18,3353
2020-06-19,3474
2020-06-20,3555
2020-06-21,3626
2020-06-22,3665
2020-06-23,3744
2020-06-24,3943
2020-06-25,4061
2020-06-26,4756
2020-06-27,4955
2020-06-28,5187
2020-06-29,5362
2020-06-30,5587
2020-07-01,5868
2020-07-02,6222
2020-07-03,6667
2020-07-04,7214
2020-07-05,7497
2020-07-06,7660
2020-07-07,7858
2020-07-08,8124
2020-07-09,8339
2020-07-10,8573
2020-07-11,8847
2020-07-12,10122
2020-07-13,10343
2020-07-14,10630
2020-07-15,10848
2020-07-16,11720
2020-07-17,12042
2020-07-18,12396
2020-07-19,12710
2020-07-20,12905
2020-07-21,13124
2020-07-22,13394
2020-07-23,13767
2020-07-24,14045
2020-07-25,14291
2020-07-26,14414
2020-07-27,14539
2020-07-28,14715
2020-07-29,14876
2020-07-30,15136
2020-07-31,15415
2020-08-01,15550
2020-08-02,15673
2020-08-03,15798
2020-08-04,15873
2020-08-05,15960
2020-08-06,16089
2020-08-07,16247
2020-08-08,16430
2020-08-09,16528
2020-08-10,16631
2020-08-11,16717
2020-08-12,16871
2020-08-13,17038
2020-08-14,17177
2020-08-15,17304
2020-08-16,17400
2020-08-17,17450
2020-08-18,17494
2020-08-19,17595
2020-08-20,17729
2020-08-21,17815
2020-08-22,17955
2020-08-23,18008
2020-08-24,18063
2020-08-25,18139
2020-08-26,18216
2020-08-27,18331
2020-08-28,18460
2020-08-29,18583
2020-08-30,18633
2020-08-31,18672
2020-09-01,18823
2020-09-02,18877
2020-09-03,18959
2020-09-04,19017
2020-09-05,19098
2020-09-06,19133
2020-09-07,19175
2020-09-08,19209
2020-09-09,19240
2020-09-10,19308
2020-09-11,19369
2020-09-12,19450
2020-09-13,19487
2020-09-14,19524
2020-09-15,19565
2020-09-16,19616
2020-09-17,19732
2020-09-18,19806
2020-09-19,19883
2020-09-20,19963
2020-09-21,20024
2020-09-22,20062
2020-09-23,20123
2020-09-24,20190
2020-09-25,20243
2020-09-26,20325
2020-09-27,20376
2020-09-28,20387
2020-09-29,20444
2020-09-30,20515
2020-10-01,20585
2020-10-02,20637
2020-10-03,20742
2020-10-04,20779
2020-10-05,20823
2020-10-06,20861
2020-10-07,20943
2020-10-08,21088
2020-10-09,21174
2020-10-10,21174
2020-10-11,21331
2020-10-12,21362
2020-10-13,21437
2020-10-14,21488
2020-10-15,21612
2020-10-16,21752
2020-10-17,21882
2020-10-18,21961
2020-10-19,22022
2020-10-20,22116
2020-10-21,22197
2020-10-22,22340
2020-10-23,22479
2020-10-24,22618
2020-10-25,22710
2020-10-26,22886
2020-10-27,23057
2020-10-28,23194
2020-10-29,23334
2020-10-30,23516
2020-10-31,23588
2020-11-01,23684
2020-11-02,23833
2020-11-03,23979
2020-11-04,24151
2020-11-05,24327
2020-11-06,24507
2020-11-07,24654
2020-11-08,24841
2020-11-09,24928
2020-11-10,25066
2020-11-11,25315
2020-11-12,25456
2020-11-13,25715
2020-11-14,25884
2020-11-15,26225
2020-11-16,26437
2020-11-17,26701
2020-11-18,26988
2020-11-19,27274
2020-11-20,27584
2020-11-21,27890
2020-11-22,28114
2020-11-23,28278
2020-11-24,28607
2020-11-25,28880
2020-11-26,28880
2020-11-27,29333
2020-11-28,29612
2020-11-29,29867
2020-11-30,30112
2020-12-01,30456
2020-12-02,30855
2020-12-03,31242
2020-12-04,31570
2020-12-05,31896
2020-12-06,32208
2020-12-07,32475
2020-12-08,32789
2020-12-09,33131
2020-12-10,33430
2020-12-11,33828
2020-12-12,34176
2020-12-13,34477
2020-12-14,34716
2020-12-15,35030
2020-12-16,35352
2020-12-17,35758
2020-12-18,36144
2020-12-19,36519
2020-12-20,36794
2020-12-21,37169
2020-12-22,37506
2020-12-23,37908
2020-12-24,38287
2020-12-25,38287
2020-12-26,38574
